LEA_RecordID,PersonNum,LocationDescription,loc_desc2,lon,lat
BPD000035598,1,University Avenue at I80 wb,"University Avenue at W Frontage Rd, Berkeley, CA",-122.3055344,37.8662898
BPD000035618,1,Florence and ashby,"Florence and ashby, Berkeley, CA",-122.2582554,37.8563767
BPD000035632,1,Ashby & California,"Ashby Avenue & California Street, Berkeley, CA",-122.2695451,37.8544974
BPD000035639,1,2800 blk of college,"2815 College Avenue, Berkeley, CA",-122.2530036,37.8592926
BPD000035641,1,2200 block of Ashby Ave,"2215 Ashby Ave, Berkeley, CA",-122.2627674,37.8560376
BPD000035642,1,Russell & Fulton,"Russell Street & Fulton Street, Berkeley, CA 94705",-122.2636160815538,37.85707801012514
BPD000035645,1,2400 block of Ashby Ave,"2415 Ashby Ave, Berkeley, CA",-122.2590995,37.8564191
BPD000035662,1,3000 blk of Telegraph Ave,"3015 Telegraph Ave, Berkeley, CA",-122.2595415,37.8555419
BPD000035660,1,2800 blk college,"2815 College Avenue, Berkeley, CA",-122.2530036,37.8592926
BPD000035673,1,Colusa and San pedro,"Colusa and San pedro, Berkeley, CA",-122.2801162,37.8925839
BPD000035732,1,Telegraph Ave/Channing Way,"Telegraph Ave at Channing Way, Berkeley, CA",-122.2588213,37.8669281
BPD000035762,1,2500 block of Chilton Way,"2515 Chilton Way, Berkeley, CA",-122.2593525,37.8639618
BPD000035776,1,2000 blk of Dwight Way,"2015 Dwight Way, Berkeley, CA",-122.2687194,37.8642487
BPD000035778,1,2100 block of  mlk jr way,"2115  mlk jr way, Berkeley, CA",-122.272523,37.869791
BPD000035801,1,Ninth and university,"University Avenue and 9th Street, Berkeley, CA",-122.294459,37.8687086
BPD000035783,1,2300 blk of ward,"2315 ward, Berkeley, CA",-122.2614769,37.86043069999999
BPD000035787,1,Bancroft & college,"Bancroft Way & College Avenue, Berkeley, CA",-122.25476222773224,37.86934488038968
BPD000035796,1,Ohlone Park,"Ohlone Park, Berkeley, CA",-122.2716076,37.8737618
BPD000035782,1,2700 block of College Ave,"2715 College Ave, Berkeley, CA",-122.2532605,37.8614875
BPD000035802,1,University and 4th,"University Avenue and 4th Street, Berkeley, CA",-122.2999123,37.8676667
BPD000035928,1,2300 blk of ward st,"2315 ward st, Berkeley, CA",-122.2614769,37.86043069999999
BPD000035976,1,2200 blk of russell,"2215 russell, Berkeley, CA",-122.2628485,37.85738389999999
BPD000036023,1,Sac & allston,"Sacramento Street & Allston Way, Berkeley, CA 94702",-122.28191470151472,37.867274426252976
